Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
13-09-2020;18;1040,579499;18,7591;304,7821041;1331,1269;1856,18016
13-09-2020;19;1361,035429;22,4773;307,4252467;1699,96634;1008,762513
13-09-2020;20;1622,75363;28,6437;325,6190624;1784,24194;55,00252309
13-09-2020;21;1501,713015;29,7894;328,9485325;2125,468;0
13-09-2020;22;1414,735769;29,778;328,3283828;2142,75278;0
13-09-2020;23;1306,840764;29,6254;319,9970268;1991,9054;0
13-09-2020;24;1186,452835;29,9623;318,9048174;1943,67802;0
14-09-2020;1;1105,596963;29,3892;332,9612692;1902,96864;0
14-09-2020;2;955,5904345;29,2682;334,3957831;2159,47464;0
14-09-2020;3;849,5353609;28,9404;332,4261445;2237,86552;0
14-09-2020;4;768,1900315;29,0935;329,8901776;1963,45126;0
14-09-2020;5;711,2399964;29,147;326,3595014;1661,08804;0
14-09-2020;6;687,203418;29,1431;328,9213339;1564,16874;0
14-09-2020;7;670,6901679;29,1329;323,0348089;1768,40094;0,153972578
14-09-2020;8;696,0110589;29,3902;307,130404;2065,74814;26,6701258
14-09-2020;9;644,272818;29,1521;295,0963696;2188,4512;555,9843681
14-09-2020;10;576,4983651;29,2547;290,3285706;1951,4539;1619,957404
14-09-2020;11;416,3948589;28,4209;286,6006608;2140,35912;1985,368115
14-09-2020;12;409,318661;27,991;278,9463903;2145,79384;2101,462053
14-09-2020;13;432,1993128;27,5533;279,1271811;1879,1628;2142,428726
14-09-2020;14;450,2079595;27,943;275,9329013;1876,04348;2131,693503
14-09-2020;15;503,8318373;16,4836;284,3397811;1879,1277;2073,054843
14-09-2020;16;500,671403;23,5351;289,9364255;1949,2683;1875,608714
14-09-2020;17;508,5470474;27,6119;295,5464414;1980,01922;1667,128849
14-09-2020;18;436,7689924;28,0818;303,8411455;1627,51618;1413,797288
14-09-2020;19;462,0334797;26,8419;310,7461139;1878,11974;728,1225023
14-09-2020;20;516,4655048;28,4808;321,7290274;2374,09658;42,94056073
14-09-2020;21;521,6184493;27,4414;324,0957857;2589,23674;0
14-09-2020;22;511,0710292;26,7787;329,1055163;2551,22888;0
14-09-2020;23;498,4414504;26,7519;331,8232598;2623,42248;0
14-09-2020;24;482,5929608;27,0875;331,7053616;2487,43316;0
15-09-2020;1;468,0339031;27,0169;332,6826436;2232,80044;0
15-09-2020;2;402,6226702;26,3383;322,0927064;1925,1759;0
