Fecha;Hora;"Demanda
[MW]"
08-10-2020;2;8066
08-10-2020;3;7785
08-10-2020;4;7664
08-10-2020;5;7675
08-10-2020;6;7703
08-10-2020;7;7925
08-10-2020;8;8131
08-10-2020;9;8654
08-10-2020;10;9052
08-10-2020;11;9308
08-10-2020;12;9317
08-10-2020;13;9297
08-10-2020;14;9293
08-10-2020;15;9289
08-10-2020;16;9181
08-10-2020;17;9068
08-10-2020;18;8867
08-10-2020;19;8734
08-10-2020;20;8948
08-10-2020;21;9532
08-10-2020;22;9456
08-10-2020;23;9248
08-10-2020;24;8908
09-10-2020;1;8484
09-10-2020;2;8158
09-10-2020;3;7922
09-10-2020;4;7807
09-10-2020;5;7771
09-10-2020;6;7849
09-10-2020;7;8028
09-10-2020;8;8208
09-10-2020;9;8702
09-10-2020;10;9168
09-10-2020;11;9292
09-10-2020;12;9401
09-10-2020;13;9445
09-10-2020;14;9501
09-10-2020;15;9499
09-10-2020;16;9366
09-10-2020;17;9214
09-10-2020;18;8891
09-10-2020;19;8778
09-10-2020;20;8993
09-10-2020;21;9561
09-10-2020;22;9525
09-10-2020;23;9266
09-10-2020;24;8877
10-10-2020;1;8541
10-10-2020;2;8189
10-10-2020;3;7904
10-10-2020;4;7721
10-10-2020;5;7672
10-10-2020;6;7690
10-10-2020;7;7760
10-10-2020;8;7693
10-10-2020;9;7915
10-10-2020;10;8235
10-10-2020;11;8529
10-10-2020;12;8717
10-10-2020;13;8737
10-10-2020;14;8813
10-10-2020;15;8745
10-10-2020;16;8669
10-10-2020;17;8505
10-10-2020;18;8408
10-10-2020;19;8354
10-10-2020;20;8533
10-10-2020;21;8857
10-10-2020;22;9091
10-10-2020;23;8880
10-10-2020;24;8289
11-10-2020;1;8180
11-10-2020;2;7816
11-10-2020;3;7560
11-10-2020;4;7421
11-10-2020;5;7336
11-10-2020;6;7291
11-10-2020;7;7298
11-10-2020;8;7157
11-10-2020;9;7258
11-10-2020;10;7558
11-10-2020;11;7812
11-10-2020;12;8017
11-10-2020;13;8119
11-10-2020;14;8284
11-10-2020;15;8210
11-10-2020;16;8065
11-10-2020;17;7994
11-10-2020;18;8013
11-10-2020;19;7629
11-10-2020;20;7782
11-10-2020;21;8345
11-10-2020;22;8482
11-10-2020;23;8256
11-10-2020;24;7876
12-10-2020;1;8072
12-10-2020;2;7776
12-10-2020;3;7498
12-10-2020;4;7334
12-10-2020;5;7290
12-10-2020;6;7283
12-10-2020;7;7301
12-10-2020;8;7220
12-10-2020;9;7385
12-10-2020;10;7661
12-10-2020;11;7970
12-10-2020;12;8141
12-10-2020;13;8276
12-10-2020;14;8449
12-10-2020;15;8476
12-10-2020;16;8378
12-10-2020;17;8274
12-10-2020;18;8249
12-10-2020;19;8239
12-10-2020;20;8528
12-10-2020;21;9166
12-10-2020;22;9250
12-10-2020;23;8899
12-10-2020;24;8651
13-10-2020;1;8258
13-10-2020;2;7934
13-10-2020;3;7757
13-10-2020;4;7633
13-10-2020;5;7630
13-10-2020;6;7686
13-10-2020;7;7945
13-10-2020;8;8228
13-10-2020;9;8736
13-10-2020;10;9182
13-10-2020;11;9438
13-10-2020;12;9522
13-10-2020;13;9576
13-10-2020;14;9667
13-10-2020;15;9662
13-10-2020;16;9589
13-10-2020;17;9444
13-10-2020;18;9233
13-10-2020;19;9187
13-10-2020;20;9232
13-10-2020;21;9775
13-10-2020;22;9667
13-10-2020;23;9410
13-10-2020;24;9130
14-10-2020;1;8713
14-10-2020;2;8287
14-10-2020;3;7955
14-10-2020;4;7845
14-10-2020;5;7784
14-10-2020;6;7803
14-10-2020;7;7996
14-10-2020;8;8165
14-10-2020;9;8653
14-10-2020;10;9095
14-10-2020;11;9263
14-10-2020;12;9234
14-10-2020;13;9260
14-10-2020;14;9256
14-10-2020;15;9213
14-10-2020;16;9183
14-10-2020;17;9092
14-10-2020;18;8903
14-10-2020;19;8838
14-10-2020;20;9058
14-10-2020;21;9446
14-10-2020;22;9443
14-10-2020;23;9344
14-10-2020;24;8864
15-10-2020;1;8535
15-10-2020;2;8118
15-10-2020;3;7885
15-10-2020;4;7758
15-10-2020;5;7684
15-10-2020;6;7710
15-10-2020;7;7976
15-10-2020;8;8130
15-10-2020;9;8660
15-10-2020;10;9129
15-10-2020;11;9313
15-10-2020;12;9451
15-10-2020;13;9504
15-10-2020;14;9611
15-10-2020;15;9646
15-10-2020;16;9607
15-10-2020;17;9533
15-10-2020;18;9388
15-10-2020;19;9315
15-10-2020;20;9315
15-10-2020;21;9714
15-10-2020;22;9665
15-10-2020;23;9302
15-10-2020;24;9134
16-10-2020;1;8736
16-10-2020;2;8388
16-10-2020;3;8059
16-10-2020;4;7867
16-10-2020;5;7858
16-10-2020;6;8003
16-10-2020;7;8064
16-10-2020;8;8283
16-10-2020;9;8701
16-10-2020;10;9102
16-10-2020;11;9367
16-10-2020;12;9428
16-10-2020;13;9470
16-10-2020;14;9492
16-10-2020;15;9478
16-10-2020;16;9428
16-10-2020;17;9317
16-10-2020;18;9273
16-10-2020;19;8890
16-10-2020;20;8957
16-10-2020;21;9490
16-10-2020;22;9525
16-10-2020;23;9333
16-10-2020;24;9061
17-10-2020;1;8487
17-10-2020;2;8303
17-10-2020;3;8022
17-10-2020;4;7890
17-10-2020;5;7844
17-10-2020;6;7854
17-10-2020;7;7889
17-10-2020;8;7850
17-10-2020;9;8037
17-10-2020;10;8428
17-10-2020;11;8752
17-10-2020;12;8930
17-10-2020;13;8971
17-10-2020;14;9012
17-10-2020;15;8898
17-10-2020;16;8803
17-10-2020;17;8586
17-10-2020;18;8806
17-10-2020;19;8672
17-10-2020;20;8751
17-10-2020;21;9142
17-10-2020;22;9055
17-10-2020;23;8940
17-10-2020;24;8557
18-10-2020;1;8230
